      1 - stats, VEH, VPA, 135.298502159315, veh.6, rx,(147.428,101.65,0), 28, 
      1 - stats, VEH, VEH, 138.275451302233, veh.5, rx,(297.736,101.65,0), 24, 
      1 - stats, VEH, VEH, 138.275451302233, vehBack.5, rx,(314.75,98.35,0), 20, 
      1 - stats, VEH, VEH, 138.275451302233, vehBack.6, rx,(324.112,98.35,0), 20, 
      1 - stats, VEH, VEH, 138.60251001753, veh.4, rx,(305.243,101.65,0), 24, 
      1 - stats, VEH, VEH, 138.60251001753, vehBack.5, rx,(314.75,98.35,0), 24, 
      1 - stats, VEH, VEH, 138.60251001753, vehBack.6, rx,(322.933,98.35,0), 24, 
      1 - stats, VEH, VEH, 138.727681311733, veh.4, rx,(305.243,101.65,0), 24, 
      1 - stats, VEH, VEH, 138.727681311733, veh.5, rx,(297.736,101.65,0), 24, 
      1 - stats, VEH, VEH, 138.727681311733, vehBack.6, rx,(322.482,98.35,0), 24, 
      1 - stats, VEH, VEH, 140.60565658911, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 143.900887652373, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 143.900887652373, vehBack.5, rx,(314.75,98.35,0), 24, 
      1 - stats, VEH, VEH, 143.900887652373, veh.6, rx,(238.019,101.65,0), 28, 
      1 - stats, VEH, VEH, 143.900887652373, vehBack.6, rx,(322.258,98.35,0), 24, 
      1 - stats, VEH, VEH, 144.165624321502, veh.4, rx,(305.243,101.65,0), 24, 
      1 - stats, VEH, VEH, 144.165624321502, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 144.165624321502, veh.6, rx,(243.01,101.65,0), 28, 
      1 - stats, VEH, VEH, 144.165624321502, vehBack.6, rx,(322.258,98.35,0), 24, 
      1 - stats, VEH, VEH, 144.377687701181, veh.4, rx,(305.243,101.65,0), 24, 
      1 - stats, VEH, VEH, 144.377687701181, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 144.377687701181, vehBack.5, rx,(314.75,98.35,0), 24, 
      1 - stats, VEH, VEH, 144.377687701181, veh.6, rx,(245.726,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.489341844251, veh.4, rx,(305.243,101.65,0), 24, 
      1 - stats, VEH, VEH, 149.489341844251, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.489341844251, vehBack.5, rx,(314.75,98.35,0), 24, 
      1 - stats, VEH, VEH, 149.489341844251, veh.6, rx,(290.712,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.650199077936, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.650199077936, vehBack.5, rx,(314.75,98.35,0), 24, 
      1 - stats, VEH, VEH, 149.650199077936, veh.6, rx,(291.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.650199077936, vehBack.6, rx,(322.258,98.35,0), 24, 
      1 - stats, VEH, VEH, 149.84081350138, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.84081350138, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.84081350138, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 149.84081350138, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 149.866052609976, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.866052609976, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 149.866052609976, veh.6, rx,(291.956,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.866052609976, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 149.898822839033, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.898822839033, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.898822839033, veh.6, rx,(292.064,101.65,0), 28, 
      1 - stats, VEH, VEH, 149.898822839033, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VPA, 150.520084771859, veh.7, rx,(96.6462,101.65,0), 31, 
      1 - stats, VEH, VEH, 155.043511290377, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.043511290377, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.043511290377, veh.6, rx,(290.229,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.043511290377, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.043511290377, vehBack.7, rx,(353.217,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.079466004273, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.079466004273, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.079466004273, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.079466004273, veh.6, rx,(290.229,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.079466004273, vehBack.7, rx,(352.678,98.35,0), 28, 
      1 - stats, VEH, VPA, 155.329205846275, veh.7, rx,(133.201,101.65,0), 32, 
      1 - stats, VEH, VEH, 155.511910818688, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.511910818688, veh.5, rx,(297.736,101.65,0), 28, 
