ID: 255735132 Coord: [12354.27, 7873.56]
ID: 446259837 Coord: [12309.2, 8025.01]
ID: 318144072 Coord: [12411.53, 7599.96]
ID: 255734471 Coord: [12443.07, 7375.62]
ID: 88334872 Coord: [12514.29, 7225.21]
ID: 317539821 Coord: [12609.14, 6839.89]
ID: 88336945 Coord: [12585.31, 6922.27]
ID: 88336950 Coord: [12713.19, 6521.0]
ID: 318139042 Coord: [12018.03, 6604.29]
ID: 95158870 Coord: [11995.47, 6610.69]
ID: 88337230 Coord: [12577.0, 6532.93]
ID: 320389254 Coord: [12727.01, 6520.48]
ID: 255696725 Coord: [12892.29, 6507.0]
ID: 496337019 Coord: [13021.1, 6498.67]
ID: 496337028 Coord: [13108.98, 6496.44]
ID: 255998916 Coord: [13129.63, 6497.57]
ID: 444549239 Coord: [13234.91, 6517.87]
ID: 446186166 Coord: [13265.68, 6523.77]
ID: 95174695 Coord: [13273.66, 6525.15]
ID: 446186169 Coord: [13294.83, 6530.48]
ID: 444549240 Coord: [13307.04, 6533.32]
ID: 444550634 Coord: [13367.65, 6551.83]
ID: 446186170 Coord: [13396.26, 6561.53]
ID: 216492078 Coord: [13404.73, 6564.52]
ID: 447105266 Coord: [13420.01, 6570.66]
ID: 317539001 Coord: [12202.68, 6571.59]
ID: 95158872 Coord: [12233.98, 6568.88]
ID: 477431772 Coord: [12371.96, 6553.97]
ID: 268025941 Coord: [12425.59, 6547.96]
ID: 291781728 Coord: [11188.49, 8096.36]
ID: 95170565 Coord: [11201.75, 8137.6]
ID: 34960109 Coord: [27681.31, 20268.83]
ID: 281389452 Coord: [28601.82, 20981.95]
ID: 64693899 Coord: [26923.32, 19984.19]
ID: 64694606 Coord: [26668.27, 20004.69]
ID: 486297836 Coord: [19656.02, 23071.04]
ID: 89126065 Coord: [19686.52, 23103.31]
ID: 486297848 Coord: [19648.38, 23062.95]
ID: 486297833 Coord: [19628.26, 23041.66]
ID: 486297845 Coord: [19620.04, 23032.97]
ID: 486297830 Coord: [19600.49, 23012.28]
ID: 486297839 Coord: [19586.18, 22997.14]
ID: 89126365 Coord: [19565.86, 22975.64]
ID: 89126066 Coord: [19547.83, 22955.68]
ID: 89126209 Coord: [19615.29, 23187.04]
ID: 89126208 Coord: [19575.19, 23254.7]
ID: 486297815 Coord: [19636.33, 23162.31]
ID: 486297820 Coord: [19658.64, 23136.07]
ID: 486297823 Coord: [19682.0, 23108.63]
ID: 486297826 Coord: [19704.52, 23082.15]
ID: 89126210 Coord: [19715.59, 23069.13]
ID: 258194452 Coord: [19803.83, 22656.79]
ID: 72992820 Coord: [19705.36, 22587.96]
ID: 72992689 Coord: [19688.57, 22815.36]
ID: 50082771 Coord: [25884.36, 10956.87]
ID: 310107565 Coord: [25840.95, 10237.04]
ID: 302922033 Coord: [25876.48, 11286.75]
ID: 308316979 Coord: [25869.84, 11565.01]
ID: 269219338 Coord: [25590.96, 10066.01]
ID: 89269785 Coord: [25592.24, 10056.56]
ID: 269219331 Coord: [25585.12, 10124.78]
ID: 269219326 Coord: [25553.06, 10968.23]
ID: 269219309 Coord: [25583.27, 10275.94]
ID: 308674345 Coord: [25584.8, 10151.03]
ID: 308674331 Coord: [25583.98, 10218.45]
ID: 76475904 Coord: [24550.41, 35959.98]
ID: 76475903 Coord: [24492.28, 35783.02]
ID: 756660880 Coord: [24596.3, 36110.31]
ID: 247275395 Coord: [15629.68, 18013.68]
ID: 474489 Coord: [15646.83, 18021.74]
ID: 786918295 Coord: [15620.8, 18012.01]
ID: 787063136 Coord: [15466.43, 17959.07]
ID: 619450081 Coord: [15433.47, 17941.11]
ID: 359416602 Coord: [15420.65, 17935.52]
ID: 28120258 Coord: [15559.5, 18468.92]
ID: 59646082 Coord: [15555.68, 18427.96]
ID: 53398398 Coord: [25066.44, 7733.04]
ID: 503375503 Coord: [25069.8, 7726.94]
ID: 50119337 Coord: [25053.39, 7755.01]
ID: 92635287 Coord: [27525.52, 23948.15]
ID: 92635290 Coord: [27556.93, 23908.65]
ID: 92635284 Coord: [27515.57, 23959.99]
ID: 273425548 Coord: [29672.1, 21312.64]
ID: 25776439 Coord: [29576.01, 21284.7]
ID: 762680714 Coord: [9473.21, 22295.43]
ID: 244055593 Coord: [9624.44, 23039.75]
ID: 93433592 Coord: [9476.02, 22278.81]
ID: 93433456 Coord: [9597.84, 22203.28]
ID: 93433548 Coord: [9466.2, 22215.87]
ID: 320126008 Coord: [9615.05, 22196.7]
ID: 762305156 Coord: [9624.72, 22193.77]
ID: 93433582 Coord: [9734.62, 22134.19]
ID: 320126007 Coord: [9794.79, 22096.27]
ID: 320126009 Coord: [10259.31, 21831.95]
ID: 267659243 Coord: [11720.89, 6652.18]
ID: 318138424 Coord: [11737.59, 6720.19]
ID: 95161196 Coord: [11720.43, 6578.01]
ID: 255738722 Coord: [11270.62, 5845.03]
ID: 546635292 Coord: [11234.26, 6188.01]
ID: 320383435 Coord: [11324.06, 5733.54]
ID: 320734835 Coord: [11385.04, 5615.85]
ID: 320735194 Coord: [11395.66, 5596.16]
ID: 320739524 Coord: [11462.9, 5472.45]
ID: 95838567 Coord: [21874.68, 20837.88]
ID: 95838416 Coord: [21837.61, 20873.15]
ID: 95838568 Coord: [21887.65, 20826.71]
ID: 95838569 Coord: [22002.33, 20602.31]
ID: 95838794 Coord: [21752.38, 20774.95]
ID: 95839006 Coord: [21971.11, 20835.33]
ID: 71235493 Coord: [22234.78, 20816.32]
ID: 296422682 Coord: [22479.16, 20944.45]
ID: 296424409 Coord: [22492.2, 20948.63]
ID: 50119935 Coord: [25172.83, 6512.83]
ID: 81690921 Coord: [25427.09, 6064.51]
ID: 81690922 Coord: [25554.71, 6118.56]
ID: 81690924 Coord: [25672.64, 6189.12]
ID: 81690929 Coord: [25875.94, 6050.6]
ID: 81690930 Coord: [25934.68, 5935.1]
ID: 96105791 Coord: [10405.98, 30000.61]
ID: 96105781 Coord: [10344.27, 30199.54]
ID: 96145759 Coord: [23985.75, 12129.4]
ID: 96146119 Coord: [24055.03, 12123.11]
ID: 450168055 Coord: [23502.98, 12029.7]
ID: 96144501 Coord: [23498.49, 11970.72]
ID: 311171357 Coord: [23505.0, 12056.14]
ID: 450168052 Coord: [23509.63, 12122.6]
ID: 96144332 Coord: [23512.7, 12166.67]
ID: 311170495 Coord: [23534.63, 12358.96]
ID: 96145124 Coord: [23537.02, 12551.8]
ID: 450855051 Coord: [23465.29, 12544.15]
ID: 273762698 Coord: [23345.37, 12531.34]
ID: 311170284 Coord: [23886.07, 12565.15]
ID: 96146888 Coord: [23783.34, 12562.18]
ID: 311169449 Coord: [23602.79, 12555.41]
ID: 96145310 Coord: [23632.21, 12557.94]
ID: 311169797 Coord: [23684.83, 12562.12]
ID: 96145581 Coord: [23845.97, 12034.7]
ID: 96145580 Coord: [23844.41, 12149.02]
ID: 96144035 Coord: [23848.28, 11962.17]
ID: 96147107 Coord: [23615.45, 12679.81]
ID: 444755596 Coord: [23576.91, 12780.94]
ID: 96147108 Coord: [23542.31, 12869.72]
ID: 459941195 Coord: [23905.71, 12792.68]
ID: 96147457 Coord: [23810.86, 12749.18]
ID: 96148220 Coord: [23740.29, 13044.67]
ID: 96153900 Coord: [23728.04, 13038.36]
ID: 96147462 Coord: [23672.48, 13015.71]
ID: 457090037 Coord: [23861.05, 13132.12]
ID: 96147831 Coord: [23870.7, 13135.25]
ID: 96147895 Coord: [23707.61, 13202.72]
ID: 585651 Coord: [23657.55, 13298.0]
ID: 444755590 Coord: [23790.48, 12839.36]
ID: 96153560 Coord: [23610.22, 13173.94]
ID: 96149610 Coord: [23572.13, 13267.12]
ID: 273765712 Coord: [23097.26, 12746.06]
ID: 311166686 Coord: [23226.48, 12775.66]
ID: 273766114 Coord: [23078.85, 12742.32]
ID: 273763457 Coord: [22965.81, 12720.19]
ID: 311168630 Coord: [23605.0, 12899.76]
ID: 311167919 Coord: [23529.79, 12863.66]
ID: 311166871 Coord: [23448.39, 12828.76]
ID: 96149611 Coord: [23324.38, 12798.86]
ID: 313219506 Coord: [23990.51, 12395.27]
ID: 313219621 Coord: [24038.29, 12198.9]
ID: 450175784 Coord: [24040.18, 12195.21]
ID: 96146031 Coord: [24101.98, 12121.26]
ID: 96154226 Coord: [23668.03, 13190.5]
ID: 97758951 Coord: [13702.55, 21162.26]
ID: 97758946 Coord: [13673.75, 21204.06]
ID: 59480115 Coord: [32328.53, 7308.31]
ID: 285892960 Coord: [32234.22, 7501.22]
ID: 39082457 Coord: [13973.84, 34629.57]
ID: 401880773 Coord: [14292.31, 34895.9]
ID: 39082451 Coord: [13924.29, 34529.07]
ID: 272249830 Coord: [14958.94, 35506.24]
ID: 112113814 Coord: [15487.46, 35774.94]
ID: 289487426 Coord: [14944.32, 35494.9]
ID: 113383497 Coord: [31262.66, 21696.64]
ID: 320539042 Coord: [31237.0, 21873.32]
ID: 113383508 Coord: [31136.77, 21634.7]
ID: 47760920 Coord: [31308.45, 21561.35]
ID: 29384582 Coord: [31352.06, 21159.15]
ID: 29384608 Coord: [30048.36, 21208.21]
ID: 29384613 Coord: [30165.79, 21144.13]
ID: 34033650 Coord: [30021.84, 21279.64]
ID: 290456747 Coord: [30326.73, 21319.55]
ID: 29384592 Coord: [30717.17, 21272.47]
ID: 29384590 Coord: [30875.96, 21238.27]
ID: 115810241 Coord: [30986.13, 21283.23]
ID: 290444928 Coord: [30801.31, 20717.45]
ID: 290445075 Coord: [30735.69, 21203.86]
ID: 290444911 Coord: [30703.84, 20374.47]
ID: 115810249 Coord: [31032.65, 21182.41]
ID: 116055816 Coord: [27535.62, 5946.05]
ID: 116055046 Coord: [27624.32, 6033.68]
ID: 116056156 Coord: [27418.94, 6019.57]
ID: 116056151 Coord: [27473.7, 6128.56]
ID: 116057386 Coord: [27349.45, 6046.06]
ID: 116057385 Coord: [27384.16, 6151.33]
ID: 434342860 Coord: [27273.79, 5938.03]
ID: 434342861 Coord: [27232.53, 5871.46]
ID: 116057389 Coord: [27195.33, 5811.42]
ID: 116057391 Coord: [27136.45, 5731.47]
ID: 240777638 Coord: [27087.72, 5670.49]
ID: 53398362 Coord: [27039.9, 5604.38]
ID: 116077709 Coord: [27427.91, 6015.72]
ID: 116057954 Coord: [27486.49, 5988.31]
